_id,pubchem_cid,pubchem_sid,inchi_key,generic_name,trade_name,orphan_designation,umls,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication,sponsor
PIBARDGJJAGJAJ-NQIIRXRSSA-N,118323590,"381128152, 439581800",PIBARDGJJAGJAJ-NQIIRXRSSA-N,"(2S,4R)-1-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",,Treatment of paroxysmal nocturnal hemoglobinuria,C0024790,Paroxysmal nocturnal hemoglobinuria,11/02/2017,Designated,Not FDA Approved for Orphan Indication,,,,,"Alexion Pharmaceuticals, Inc|300 George Street|New Haven|Connecticut|6511|United States"
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,54670067,"3372, 597821, 828416, 7885976, 8145471, 11528251, 22395201, 46505070, 48415580, 49737747, 53790060, 56310862, 56313946, 56314017, 56314018, 56314020, 56463574, 85165004, 87325819, 92298700, 99453626, 103579966, 125264681, 125299686, 125299690, 127271092, 127271093, 127271094, 127271095, 127271096, 127271097, 127271098, 127271099, 127271100, 127271101, 127271102, 127271103, 127271104, 127271105, 127271106, 127271107, 127271108, 127271109, 127271110, 127271111, 127271112, 127271113, 127271114, 127271115, 127271116, 127271117, 127271118, 127271119, 127271120, 127271121, 127271122, 127271123, 127271124, 127271125, 127271126, 127271127, 127271128, 127271129, 127271130, 127271131, 127271132, 127271133, 127271134, 127271135, 127271136, 127271137, 127271138, 127271139, 127271140, 127271141, 127271142, 127271143, 127271144, 127271145, 127271146, 127271147, 127271148, 127271149, 127271150, 127271151, 127271152, 127271153, 127271154, 127271155, 127271156, 127271157, 127271158, 127271159, 127271160, 127271161, 127271162, 127271163, 127271164, 127271165, 127271166, 127271167, 127271168, 127271169, 127271170, 127271171, 127271172, 127271173, 127271174, 127271175, 127271176, 127271177, 127271178, 127271179, 127271180, 127271181, 127271182, 127271183, 127271184, 127271185, 127271186, 127271187, 127271188, 127271189, 127271190, 127271191, 127271192, 127271193, 127271194, 127271195, 127271196, 127271197, 127271198, 127271199, 127271200, 134971787, 137276713, 152188004, 160963475, 162108581, 163633354, 163819346, 163826620, 172121807, 172121809, 178101483, 191112601, 223817718, 242080613, 242080615, 249807443, 251891577, 252401633, 310264235, 312694855, 313074819, 316605454, 318163413, 318172077, 318172115, 319399440, 329823039, 329891622, 329891638, 329891656, 341138795, 348274213, 348397825, 348397830, 349981233, 349998422, 349998423, 355038891, 375573014, 375627885, 376162998, 381328007, 381369260, 381623050, 381686509, 381831425, 387060642, 387079420, 404847053, 404911298, 434131932, 434141831, 438448913, 438474393, 439506601, 439506610, 440064240, 91803, 10321643, 10524585, 176254379, 363667561, 382161619, 386209219, 387157742, 841571, 92298427, 384436764, 387079421, 144075490, 268734393, 376227351, 837985, 837990, 837996, 93165951, 116933603, 136357782, 250135138, 341824789, 26712906, 50071359, 50071373, 50071374, 103914131, 103988756, 135676483, 163826629, 318172076, 374884055, 438580745",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,ascorbic acid,,Treatment of Charcot-Marie-Tooth disease type 1A.,C0270911,Charcot-Marie-Tooth Disease Type 1A,05/11/2009,Designated,Not FDA Approved for Orphan Indication,,,,,Murigenetics SAS|Faculte de Medecine Timone|13005 Marseille|France
GJPICJJJRGTNOD-UHFFFAOYSA-N,104865,"7978805, 12014838, 46507154, 49831038, 49881484, 50840650, 53787963, 56464382, 92714194, 93581179, 103250068, 103956688, 126592988, 126624339, 126655593, 126671144, 135143300, 143493318, 144205997, 152237729, 152258948, 160647793, 160963904, 162184897, 170465245, 175437733, 178100482, 185998773, 187072555, 206246492, 223392519, 223751645, 251890836, 251915889, 251917237, 251971249, 254759929, 254828129, 274288823, 310268528, 312228231, 312692448, 313077045, 313080295, 315444251, 315682103, 316966367, 317223684, 318154000, 318160395, 319137132, 319434729, 319552370, 329968754, 332863241, 340126875, 341138026, 341141756, 341854826, 342475083, 347229256, 347914173, 348283219, 348780398, 349993529, 354283889, 354337403, 355040092, 355045498, 363665954, 375201794, 375588221, 375645709, 376229706, 377309907, 378132951, 381392491, 382156171, 385786508, 386623509, 387094371, 404759706, 405456277, 419503511, 434144946, 438450512, 439452465, 440002939, 440790260, 441006803, 135164442, 252346806, 319192048, 355039719, 438474282, 250184866, 348273965, 441079290",GJPICJJJRGTNOD-UHFFFAOYSA-N,bosentan,Tracleer,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,10/06/2000,Designated/Approved,,Treatment of pulmonary arterial hypertension., 11/20/2001 , 11/20/2008 ,,Actelion Pharmaceuticals Ltd|1840 Gateway Drive|Suite 300|Cherry Hill|New Jersey|8002|United States
GJPICJJJRGTNOD-UHFFFAOYSA-N,104865,"7978805, 12014838, 46507154, 49831038, 49881484, 50840650, 53787963, 56464382, 92714194, 93581179, 103250068, 103956688, 126592988, 126624339, 126655593, 126671144, 135143300, 143493318, 144205997, 152237729, 152258948, 160647793, 160963904, 162184897, 170465245, 175437733, 178100482, 185998773, 187072555, 206246492, 223392519, 223751645, 251890836, 251915889, 251917237, 251971249, 254759929, 254828129, 274288823, 310268528, 312228231, 312692448, 313077045, 313080295, 315444251, 315682103, 316966367, 317223684, 318154000, 318160395, 319137132, 319434729, 319552370, 329968754, 332863241, 340126875, 341138026, 341141756, 341854826, 342475083, 347229256, 347914173, 348283219, 348780398, 349993529, 354283889, 354337403, 355040092, 355045498, 363665954, 375201794, 375588221, 375645709, 376229706, 377309907, 378132951, 381392491, 382156171, 385786508, 386623509, 387094371, 404759706, 405456277, 419503511, 434144946, 438450512, 439452465, 440002939, 440790260, 441006803, 135164442, 252346806, 319192048, 355039719, 438474282, 250184866, 348273965, 441079290",GJPICJJJRGTNOD-UHFFFAOYSA-N,bosentan,Tracleer,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,10/06/2000,Designated/Approved,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability", 09/05/2017 , 09/05/2024 ,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd|1840 Gateway Drive|Suite 300|Cherry Hill|New Jersey|8002|United States
VOVIALXJUBGFJZ-KWVAZRHASA-N,5281004,"855541, 7978823, 10321783, 11528595, 12013315, 46504869, 53789711, 56394980, 56422168, 92303636, 92721807, 93576669, 103455384, 103914268, 126627527, 126651544, 127278596, 127278597, 127278598, 127278599, 127278600, 127278601, 127278602, 127278603, 127278604, 127278605, 127278606, 127278607, 127278608, 127278609, 127278610, 127278611, 127278612, 127278613, 127278614, 135019928, 136361536, 160871371, 162176915, 162227030, 163564128, 165235840, 170505998, 172080749, 175443769, 178104006, 187072297, 210274891, 210280526, 223827776, 241090728, 249865448, 250133944, 251915932, 251917280, 252156701, 252346865, 252401277, 255345951, 268737892, 275187802, 310269068, 312228729, 312344299, 312694881, 313076632, 313080309, 315671194, 318160422, 319295567, 319447866, 319553903, 336286613, 340508120, 341140242, 341831618, 347221999, 347758774, 348283800, 349090860, 349995557, 350088879, 355039570, 363903180, 375652360, 376193002, 376219388, 381368971, 384255004, 385784926, 386621838, 387165724, 404762803, 419492951, 433780311, 434131879, 434315843, 438467076, 438493471, 438644607, 438653974, 440064384, 440747018, 440790704, 48413332, 48415656, 49833297, 126667243, 126670197, 144204204, 144209025, 144213132, 252219895, 315444277, 316962259, 319089468, 347912554, 381939949, 382161830, 386477469, 387165726, 404758129, 406521019, 419497181, 438653977, 249997896, 312635418, 313047244, 316572615, 319061696, 438620595, 8149669, 144075337, 163133261, 211534972, 268734783, 336303673, 346445287, 376226186, 126621150, 126653327, 160964555, 196106491, 255474323, 275955843, 316899509, 318154209, 319104287, 319257863, 319363237, 348273573, 384570814, 625880, 50105230, 50105231, 50918734, 319392293, 322089786, 363662578, 377019297, 377311000, 405488870, 440035528, 50071406, 104170124, 136946479, 250224907, 319308409, 340503347, 364146481, 375586465, 441076598",VOVIALXJUBGFJZ-KWVAZRHASA-N,budesonide,,Treatment of patients with eosinophilic esophagitis,C0341106,Eosinophilic esophagitis,12/20/2006,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Pharmaceuticals U.S.A., Inc.|95 Hayden Avenue|Lexington|Massachusetts|2421|United States"
PQAPVTKIEGUPRN-UHFFFAOYSA-N,11455910,252157732,PQAPVTKIEGUPRN-UHFFFAOYSA-N,"N-[4-[[2-(1,1-Dimethylethyl)phenyl]sulfonyl]phenyl]-2,3,4-trihydroxy-5-[[2-(1-methylethyl)phenyl]methyl]benzamide",,Treatment of retinoblastoma,C0035335,Retinoblastoma,09/14/2020,Designated,Not FDA Approved for Orphan Indication,,,,,Oxular Ltd|Magadalen Centre|1 Robert Robinson Avenue|Oxford|OX4 4GA|United Kingdom
CPKVUHPKYQGHMW-UHFFFAOYSA-N,410087,"542705, 596227, 134222830, 313076663, 316970499, 319220610, 329970307, 347673852, 348397449, 375204677, 375570253, 376046383, 381003422, 381382045, 402319325, 402319326, 402319327, 404839533, 438799454, 439463068, 439643635, 317223448, 347756096, 438656123, 50019135, 103771461, 134997246, 319436649, 347831964, 347910372, 347915255, 348352215, 348931740, 441074475",CPKVUHPKYQGHMW-UHFFFAOYSA-N,povidone iodine,,Treatment of endophthalmitis,C0014236,Endophthalmitis,11/27/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Veloce BioPharma LLC|7008 Lafayette Avenue|Fort Washington|Pennsylvania|19034|United States
WRFHGDPIDHPWIQ-UHFFFAOYSA-N,10257882,"103441000, 163642156, 252166658, 319342525, 347828773, 348351473, 348351766, 349995747, 355036018, 375660006, 378132472, 383591116, 385653504, 386489962, 387213464, 404616416, 433865454, 434312366, 438490708, 441017586, 441124798",WRFHGDPIDHPWIQ-UHFFFAOYSA-N,sparsentan,,Treatment of immunoglobulin A (IgA) nephropathy,C0022658,Nephropathy,01/11/2021,Designated,Not FDA Approved for Orphan Indication,,,,,"Travere Therapeutics, Inc.|3611 Valley Centre Drive, Suite 300|San Diego|California|92130|United States"
GFJCILQBXUTOGN-UHFFFAOYSA-N,15942270,433770661,GFJCILQBXUTOGN-UHFFFAOYSA-N,"((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenoxy)methyl)phosphonic acid",,Treatment of X-linked adrenoleukodystrophy,C0162309,X-Linked Adrenoleukodystrophy,12/05/2016,Designated,Not FDA Approved for Orphan Indication,,,,,"Viking Therapeutics, Inc.|12340 El Camino Real|Suite 250|San Diego|California|92130|United States"
WEQLWGNDNRARGE-DJIMGWMZSA-N,14580381,"341851841, 348350677, 355039272, 439418286, 439496444, 387202381",WEQLWGNDNRARGE-DJIMGWMZSA-N,(+)-alpha-dihydrotetrabenazine,,Treatment of Huntington's disease.,C0020179,Huntington's Disease,12/05/2018,Designated,Not FDA Approved for Orphan Indication,,,,,"Adeptio Pharmaceuticals, Ltd|22 Bedford Row|WC1R 4JS|London|United Kingdom"
