_id,compound_id,inchl_key,generic_name,trade_name,orphan_designation,umls_id,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication
PIBARDGJJAGJAJ-NQIIRXRSSA-N,118323590,PIBARDGJJAGJAJ-NQIIRXRSSA-N,"(2S,4R)-1-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",,Treatment of paroxysmal nocturnal hemoglobinuria,C0024790,Paroxysmal nocturnal hemoglobinuria,11/2/17,Designated,Not FDA Approved for Orphan Indication,,,,
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,54670067,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,ascorbic acid,,Treatment of Charcot-Marie-Tooth disease type 1A.,C0270911,Charcot-Marie-Tooth Disease Type 1A,5/11/09,Designated,Not FDA Approved for Orphan Indication,,,,
GJPICJJJRGTNOD-UHFFFAOYSA-N,104865,GJPICJJJRGTNOD-UHFFFAOYSA-N,bosentan,Tracleer,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,10/6/00,Designated/Approved,,Treatment of pulmonary arterial hypertension., 11/20/2001 , 11/20/2008 ,
GJPICJJJRGTNOD-UHFFFAOYSA-N,104865,GJPICJJJRGTNOD-UHFFFAOYSA-N,bosentan,Tracleer,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,10/6/00,Designated/Approved,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability", 09/05/2017 , 09/05/2024 ,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability"
VOVIALXJUBGFJZ-KWVAZRHASA-N,5281004,VOVIALXJUBGFJZ-KWVAZRHASA-N,budesonide,,Treatment of patients with eosinophilic esophagitis,C0341106,Eosinophilic esophagitis,12/20/06,Designated,Not FDA Approved for Orphan Indication,,,,
PQAPVTKIEGUPRN-UHFFFAOYSA-N,11455910,PQAPVTKIEGUPRN-UHFFFAOYSA-N,"N-[4-[[2-(1,1-Dimethylethyl)phenyl]sulfonyl]phenyl]-2,3,4-trihydroxy-5-[[2-(1-methylethyl)phenyl]methyl]benzamide",,Treatment of retinoblastoma,C0035335,Retinoblastoma,9/14/20,Designated,Not FDA Approved for Orphan Indication,,,,
CPKVUHPKYQGHMW-UHFFFAOYSA-N,410087,CPKVUHPKYQGHMW-UHFFFAOYSA-N,povidone iodine,,Treatment of endophthalmitis,C0014236,Endophthalmitis,11/27/17,Designated,Not FDA Approved for Orphan Indication,,,,
WRFHGDPIDHPWIQ-UHFFFAOYSA-N,10257882,WRFHGDPIDHPWIQ-UHFFFAOYSA-N,sparsentan,,Treatment of immunoglobulin A (IgA) nephropathy,C0022658,Nephropathy,1/11/21,Designated,Not FDA Approved for Orphan Indication,,,,
GFJCILQBXUTOGN-UHFFFAOYSA-N,15942270,GFJCILQBXUTOGN-UHFFFAOYSA-N,"((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenoxy)methyl)phosphonic acid",,Treatment of X-linked adrenoleukodystrophy,C0162309,X-Linked Adrenoleukodystrophy,12/5/16,Designated,Not FDA Approved for Orphan Indication,,,,
WEQLWGNDNRARGE-DJIMGWMZSA-N,14580381,WEQLWGNDNRARGE-DJIMGWMZSA-N,(+)-alpha-dihydrotetrabenazine,,Treatment of Huntington's disease.,C0020179,Huntington's Disease,12/5/18,Designated,Not FDA Approved for Orphan Indication,,,,
PFTAWBLQPZVEMU-ZFWWWQNUSA-N,182232,PFTAWBLQPZVEMU-ZFWWWQNUSA-N,(+)-Epicatechin,,Treatment of Duchenne and Becker muscular dystrophy,C3542021,Duchenne and Becker Muscular Dystrophy,4/6/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZFPZEYHRWGMJCV-ZHALLVOQSA-N,9926832,ZFPZEYHRWGMJCV-ZHALLVOQSA-N,"(-)-(3aR,4S,7aR)-4-Hydroxy-4-m-tolylethynyl-octahydro-indole-1-carboxylic acid methyl ester",,Treatment of Fragile X syndrome,C0016667,Fragile X Syndrome,10/12/11,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-MEBBXXQBSA-N,6565233,ZRJBHWIHUMBLCN-MEBBXXQBSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
