Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
,,,,,,,,,"(Shown for approvals from Jan. 1, 2013, to the present)",,,,,,,,
"(2S,3S,4E,6S,7R,10R)-7,10-Dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E,6R)-6-(pyridin-2-yl)hepta-2,4-dien-2-yl]oxacyclododec-4-en-6-yl 4-methylpiperazine-1-carboxylate",,6/22/17,Treatment of chronic myelomonocytic leukemia (CMML),Designated,Not FDA Approved for Orphan Indication,,,,,Eisai Inc.,200 Metro Blvd.,,Nutley,New Jersey,07110-6102,United States,581717
"(2S,4R)-1-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",,11/2/17,Treatment of paroxysmal nocturnal hemoglobinuria,Designated,Not FDA Approved for Orphan Indication,,,,,"Alexion Pharmaceuticals, Inc",300 George Street,,New Haven,Connecticut,6511,United States,512715
"(2-chloro-4-phenoxyphenyl)(4-(((3R,6S)-6- (hydroxymethyl)tetrahydro-2H-pyran-3-yl)amino)-7H-pyrrolo[2,3-d]pyrimidin-5- yl)methanone",,12/7/20,Treatment of chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),Designated,Not FDA Approved for Orphan Indication,,,,,"ArQule, Inc., a wholly owned subsidiary of Merck & Co. Inc.",One Wall Street,,Whitehouse Station,New Jersey,8889,United States,787120
1-(2-Nitro-imidazolyl)-3-[18F]fluoro-2-propanol;1H-1-(3-[18F]fluoro-2-hydroxypropyl)-2-nitroimidazole,,1/6/16,"As a diagnostic for clinical management of soft tissue sarcoma, including rhabdomyosarcoma.",Designated,Not FDA Approved for Orphan Indication,,,,,"Advanced Imaging Projects, LLC",7947 Brookside Ct.,,Lake Worth,Florida,33467,United States,509715
"2-(2-{[2-(1H-benzimidazol-2-yl)ethyl]amino}ethyl)-N-[(3-fluoropyridin-2-yl)methyl]-1,3-oxazole-4-carboxamide trihydrochloride",,6/17/19,Treatment of beta-thalassemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Vifor Pharma, Inc.",200 Cardinal Way,,Redwood City,California,94063,United States,688419
"4-{4-{[6-(4-Chlorophenyl)-spiro[3.5]non-6-en-7-yl]methyl}-piperazin-1-yl}-N-{{3-nitro-4-[((2S)-1,4-dioxan-2-ylmethyl)amino]phenyl}sulfonyl}-2-(1H- pyrrolo[2,3-b]pyridin-5-yloxy)benzamide",,8/28/20,Treatment of Chronic Lymphocytic Leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Ascentage Pharma Group Inc.,800 King Farm Blvd.,Suite 300,Rockville,Maryland,20850,United States,757920
"a non-replicating, recombinant adeno-associated virus serotype 9 (AAV9) containing the human Methyl CpG Binding Protein 2B (MECP2B) cDNA under the control of a segment of the murine MECP2 promoter.",,4/17/19,Treatment of Rett Syndrome (RTT),Designated,Not FDA Approved for Orphan Indication,,,,,"AveXis, Inc.",2275 Half Day Road,,Bannockburn,Illinois,60015,United States,681219
A recombinant plasmid-derived DNA-based vaccine targeting the E6 and E7 antigens of both HPV6 and HPV11,,7/28/20,Treatment of recurrent respiratory papillomatosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Inovio Pharmaceuticals, Inc.",660 West Germantown Pike,Suite 110,Plymouth Meeting,Pennsylvania,19462,United States,751220
a self-complementary adeno-associated virus serotype 9 (AAV9) vector expressing codon-optimized human SURF1 DNA coding sequence,,10/20/20,Treatment of Leigh Syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,Taysha Gene Therapies,BioCenter at UT Southwestern,2280 Inwood Road,Dallas,Texas,75235,United States,773520
