_id,pubchem_cid,pubchem_sid,inchikey,generic_name,trade_name,orphan_designation,umls,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication,sponsor
UMLS:C0002895,,440234753,,apadamtase alfa,,Treatment of Sickle Cell Disease,C0002895,Sickle Cell Disease,09/28/2020,Designated,Not FDA Approved for Orphan Indication,,,,,Baxalta US Inc.|300 Shire Way|Lexington|Massachusetts|2421|United States
UMLS:C0002895,,404772603,,apadamtase alfa,,Treatment of Sickle Cell Disease,C0002895,Sickle Cell Disease,09/28/2020,Designated,Not FDA Approved for Orphan Indication,,,,,Baxalta US Inc.|300 Shire Way|Lexington|Massachusetts|2421|United States
UMLS:C0002895,,381128258,,apadamtase alfa,,Treatment of Sickle Cell Disease,C0002895,Sickle Cell Disease,09/28/2020,Designated,Not FDA Approved for Orphan Indication,,,,,Baxalta US Inc.|300 Shire Way|Lexington|Massachusetts|2421|United States
UMLS:C0079773,,405023558,,"1-118-signal regulatory protein alpha (human) fusion protein with immunoglobulin G1 (human Fc fragment), dimer",,Treatment of Cutaneous T-Cell Lymphoma,C0079773,cutaneous T-cell lymphoma,03/08/2018,Designated,Not FDA Approved for Orphan Indication,,,,,Trillium Therapeutics Inc.|2488 Dunwin Drive|Mississauga|Canada
UMLS:C1800706,,332853708,,"2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1H-pyrazolo[4,3-C]pyridine-3,6(2H,5H)-dione",,Treatment of idiopathic pulmonary fibrosis.,C1800706,Idiopathic Pulmonary Fibrosis,09/21/2010,Designated,Not FDA Approved for Orphan Indication,,,,,GenKyoTex S.A.|14 Chemin des Aulx|Geneva|Switzerland
UMLS:C3463824,,319393237,,"2-hydroxymethyl-2-methoxymethyl-1-azabicyclo[2,2,2]octan-3-one",,Treatment of Myelodysplastic Syndrome,C3463824,MYELODYSPLASTIC SYNDROME,04/11/2019,Designated,Not FDA Approved for Orphan Indication,,,,,"Aprea Therapeutics AB|Nobels Vag 3|Solna,|Sweden"
UMLS:C0220756,,369038179,,2-hydroxypropyl-B-cyclodextrin,,"Treatment of Niemann Pick disease, type C.",C0220756,"Niemann Pick Disease, Type C",02/18/2013,Designated,Not FDA Approved for Orphan Indication,,,,,"Vtesse, Inc.|700 Technology Square|Third Floor|Cambridge|Massachusetts|2139|United States"
UMLS:C0220756,,255374991,,2-hydroxypropyl-B-cyclodextrin,,"Treatment of Niemann Pick disease, type C.",C0220756,"Niemann Pick Disease, Type C",02/18/2013,Designated,Not FDA Approved for Orphan Indication,,,,,"Vtesse, Inc.|700 Technology Square|Third Floor|Cambridge|Massachusetts|2139|United States"
UMLS:C0220756,,254764800,,2-hydroxypropyl-B-cyclodextrin,,"Treatment of Niemann Pick disease, type C.",C0220756,"Niemann Pick Disease, Type C",02/18/2013,Designated,Not FDA Approved for Orphan Indication,,,,,"Vtesse, Inc.|700 Technology Square|Third Floor|Cambridge|Massachusetts|2139|United States"
UMLS:C0023467,,404772496,,225Ac-lintuzumab,,Treatment of acute myelogenous leukemia,C0023467,Acute myelogenous leukemia,11/25/2014,Designated,Not FDA Approved for Orphan Indication,,,,,"Actinium Pharmaceuticals, Inc.|379 Thornall Avenue|6th Floor|Edison|New Jersey|8837|United States"
UMLS:C0023467,,402426007,,225Ac-lintuzumab,,Treatment of acute myelogenous leukemia,C0023467,Acute myelogenous leukemia,11/25/2014,Designated,Not FDA Approved for Orphan Indication,,,,,"Actinium Pharmaceuticals, Inc.|379 Thornall Avenue|6th Floor|Edison|New Jersey|8837|United States"
UMLS:C2919945,,223844000,,"4-Hydroxy-2,2,6,6-tetramethylpiperidine-N-oxyl",,Treatment of cerebral cavernous malformation.,C2919945,Cerebral Cavernous Malformation,09/29/2015,Designated,Not FDA Approved for Orphan Indication,,,,,"Recursion Pharmaceuticals, LLC|383 S. Colorow Drive|Salt Lake City|Utah|84108|United States"
UMLS:C2919945,,117651832,,"4-Hydroxy-2,2,6,6-tetramethylpiperidine-N-oxyl",,Treatment of cerebral cavernous malformation.,C2919945,Cerebral Cavernous Malformation,09/29/2015,Designated,Not FDA Approved for Orphan Indication,,,,,"Recursion Pharmaceuticals, LLC|383 S. Colorow Drive|Salt Lake City|Utah|84108|United States"
UMLS:C2919945,,53789268,,"4-Hydroxy-2,2,6,6-tetramethylpiperidine-N-oxyl",,Treatment of cerebral cavernous malformation.,C2919945,Cerebral Cavernous Malformation,09/29/2015,Designated,Not FDA Approved for Orphan Indication,,,,,"Recursion Pharmaceuticals, LLC|383 S. Colorow Drive|Salt Lake City|Utah|84108|United States"
UMLS:C0023467,,319393478,,"4-{[(2R,3S,4R,5S)-4-(4-Chloro-2-fluoro-phenyl)-3-(3-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethyl-propyl)-pyrrolidine-2-carbonyl]-amino}-3-methoxy-benzoic acid",,Treatment of Acute Myeloid Leukemia,C0023467,Acute myeloid leukemia,05/19/2014,Designated,Not FDA Approved for Orphan Indication,,,,,Roche Genentech|F. Hoffmann-La Roche Ltd.|430 East 29th Street|New York|New York|10016|United States
UMLS:C0235974,,160687627,,90Y-hPAMA4,,Treatment of pancreatic cancer,C0235974,PANCREATIC CANCER,01/29/2004,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.|300 American Road|Morris Plains|New Jersey|7950|United States"
UMLS:C0079773,,404719631,,A-dmDT390-bisFv(UCHT1),,Treatment of cutaneous T-cell lymphoma,C0079773,cutaneous T-cell lymphoma,10/09/2014,Designated,Not FDA Approved for Orphan Indication,,,,,"Angimmune, LLC|American Red Cross Holland Laboratory|15601 Crabbs Branch Way|Rockville|Maryland|20855|United States"
UMLS:C4721610,,255366256,,abagovomab,,Treatment of epithelial ovarian cancer,C4721610,Epithelial Ovarian Cancer,11/25/2003,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Menarini Ricerche S.p.A.|Via Tito Speri 10|Pomezia|Roma|Italy
UMLS:C4721610,,252166477,,abagovomab,,Treatment of epithelial ovarian cancer,C4721610,Epithelial Ovarian Cancer,11/25/2003,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Menarini Ricerche S.p.A.|Via Tito Speri 10|Pomezia|Roma|Italy
UMLS:C4721610,,160693407,,abagovomab,,Treatment of epithelial ovarian cancer,C4721610,Epithelial Ovarian Cancer,11/25/2003,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Menarini Ricerche S.p.A.|Via Tito Speri 10|Pomezia|Roma|Italy
UMLS:C4721610,,135318753,,abagovomab,,Treatment of epithelial ovarian cancer,C4721610,Epithelial Ovarian Cancer,11/25/2003,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Menarini Ricerche S.p.A.|Via Tito Speri 10|Pomezia|Roma|Italy
UMLS:C0011854,,441072535,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
